Pair,Gap
1,1.700000000015578e-05
2,2.9999999999752447e-06
3,0.0
4,1.3999999999736445e-05
5,0.0
6,6.999999999646178e-06
7,1.4000000000180535e-05
8,2.9999999999752447e-06
9,7.000000000090267e-06
10,6.999999999646178e-06
11,7.000000000090267e-06
12,2.9999999999752447e-06
13,1.0000000000065512e-05
14,4.000000000115023e-06
15,1.4000000000180535e-05
16,2.9999999999752447e-06
17,7.000000000090267e-06
18,7.000000000090267e-06
19,3.9999999996709334e-06
20,4.000000000115023e-06
21,7.000000000090267e-06
22,7.000000000090267e-06
23,1.000000000139778e-06
24,1.4000000000180535e-05
25,9.999999999621423e-06
26,0.0
27,3.9999999996709334e-06
28,4.000000000115023e-06
29,0.0
30,1.0000000000065512e-05
31,7.000000000090267e-06
32,2.9999999999752447e-06
33,0.0
34,4.000000000115023e-06
35,1.4000000000180535e-05
36,1.0000000000065512e-05
37,9.999999999621423e-06
38,3.9999999996709334e-06
39,2.9999999999752447e-06
40,1.0000000000065512e-05
41,7.000000000090267e-06
42,1.4000000000180535e-05
43,0.0
44,7.000000000090267e-06
45,4.000000000115023e-06
46,9.999999996956888e-07
47,2.9999999999752447e-06
48,2.9999999999752447e-06
49,7.000000000090267e-06
50,2.9999999999752447e-06
51,1.0000000000065512e-05
52,9.999999996956888e-07
53,3.000000000419334e-06
54,1.0000000000065512e-05
55,0.0
56,7.000000000090267e-06
57,2.9999999999752447e-06
58,1.0000000000065512e-05
59,9.999999996956888e-07
60,1.4000000000180535e-05
61,7.000000000090267e-06
62,7.000000000090267e-06
63,4.000000000115023e-06
64,7.000000000090267e-06
65,7.000000000090267e-06
66,4.000000000115023e-06
67,7.000000000090267e-06
68,1.0000000000065512e-05
69,4.000000000115023e-06
70,1.4000000000180535e-05
71,2.9999999995311555e-06
72,7.000000000090267e-06
73,9.999999999621423e-06
74,7.000000000090267e-06
75,1.4000000000180535e-05
76,7.000000000090267e-06
77,9.999999999621423e-06
78,3.9999999996709334e-06
79,7.000000000090267e-06
80,9.999999999621423e-06
81,1.4000000000180535e-05
82,2.9999999995311555e-06
83,7.000000000090267e-06
84,0.0
85,1.4000000000180535e-05
86,7.000000000090267e-06
87,7.000000000090267e-06
88,3.000000000419334e-06
89,1.0000000000509601e-05
90,3.9999999996709334e-06
91,3.000000000419334e-06
92,1.0000000000509601e-05
93,7.000000000090267e-06
94,4.000000000559112e-06
95,9.999999992515995e-07
96,7.000000000090267e-06
97,0.0
98,7.000000000090267e-06
99,1.4000000000180535e-05
100,1.0000000000509601e-05
101,7.000000000090267e-06
102,1.4000000000180535e-05
103,7.000000000090267e-06
104,0.0
105,4.000000000559112e-06
106,1.3999999999292356e-05
107,1.0000000000509601e-05
108,1.0000000000509601e-05
109,4.000000000559112e-06
110,3.000000000419334e-06
111,7.000000000090267e-06
112,4.000000000559112e-06
113,0.0
114,7.000000000090267e-06
