Pair,Gap
1,4.1000000000401826e-05
2,3.900000000012227e-05
3,2.4999999999941735e-05
4,2.4999999999941735e-05
5,2.4999999999941735e-05
6,3.900000000012227e-05
7,4.099999999995774e-05
8,2.4999999999941735e-05
9,3.900000000012227e-05
10,3.899999999967818e-05
11,2.4999999999941735e-05
12,3.900000000012227e-05
13,2.4999999999941735e-05
14,3.900000000012227e-05
15,4.099999999995774e-05
16,3.900000000012227e-05
17,4.099999999995774e-05
18,3.900000000012227e-05
19,2.4999999999941735e-05
20,3.900000000012227e-05
21,4.099999999995774e-05
22,3.900000000012227e-05
23,3.900000000012227e-05
24,4.099999999995774e-05
25,4.099999999995774e-05
26,2.4999999999941735e-05
27,4.099999999995774e-05
28,2.4999999999941735e-05
29,3.900000000012227e-05
30,2.4999999999941735e-05
31,4.099999999995774e-05
32,2.4999999999941735e-05
33,3.900000000012227e-05
34,4.099999999995774e-05
35,3.900000000012227e-05
36,4.099999999995774e-05
37,4.099999999995774e-05
38,3.900000000012227e-05
39,2.4999999999941735e-05
40,3.900000000012227e-05
41,4.099999999995774e-05
42,3.900000000012227e-05
43,4.099999999995774e-05
44,2.4999999999941735e-05
45,3.900000000012227e-05
46,4.099999999995774e-05
47,4.099999999995774e-05
48,3.899999999967818e-05
49,2.5000000000385825e-05
50,4.1000000000401826e-05
51,2.4999999999941735e-05
52,3.900000000012227e-05
53,2.4999999999941735e-05
54,3.900000000012227e-05
55,4.099999999995774e-05
56,3.899999999967818e-05
57,2.5000000000385825e-05
58,4.1000000000401826e-05
59,4.099999999995774e-05
60,2.4999999999941735e-05
61,4.099999999995774e-05
62,2.4999999999941735e-05
63,3.899999999967818e-05
64,4.099999999995774e-05
65,4.099999999995774e-05
66,3.900000000012227e-05
67,4.1000000000401826e-05
68,3.900000000012227e-05
69,4.099999999951365e-05
70,2.4999999999941735e-05
71,3.900000000012227e-05
72,4.099999999951365e-05
73,2.4999999999941735e-05
74,3.900000000012227e-05
75,3.899999999923409e-05
76,4.099999999951365e-05
77,3.900000000012227e-05
78,2.4999999999941735e-05
79,3.900000000012227e-05
80,2.4999999999941735e-05
81,2.4999999999941735e-05
82,2.4999999999941735e-05
83,3.900000000012227e-05
84,4.099999999951365e-05
85,4.1000000000401826e-05
86,3.900000000012227e-05
87,3.900000000012227e-05
88,3.900000000012227e-05
89,2.4999999999941735e-05
90,3.900000000012227e-05
91,4.099999999951365e-05
92,2.4999999999941735e-05
93,4.1000000000401826e-05
94,4.099999999951365e-05
95,3.900000000012227e-05
96,4.1000000000401826e-05
97,3.900000000012227e-05
98,2.4999999999941735e-05
99,2.4999999999941735e-05
100,3.900000000012227e-05
101,4.1000000000401826e-05
102,2.4999999999941735e-05
103,3.900000000012227e-05
104,3.900000000012227e-05
105,3.900000000012227e-05
106,2.4999999999941735e-05
107,3.900000000012227e-05
108,4.099999999951365e-05
109,3.900000000012227e-05
110,3.900000000012227e-05
111,4.1000000000401826e-05
112,3.900000000012227e-05
113,2.4999999999941735e-05
114,3.900000000012227e-05
115,4.1000000000401826e-05
116,3.900000000012227e-05
117,3.899999999923409e-05
118,2.4999999999941735e-05
119,3.900000000012227e-05
120,2.4999999999941735e-05
121,2.4999999999941735e-05
122,4.099999999951365e-05
123,3.900000000012227e-05
124,4.1000000000401826e-05
125,4.1000000000401826e-05
126,3.900000000012227e-05
127,4.1000000000401826e-05
128,2.4999999999941735e-05
129,3.900000000012227e-05
130,4.1000000000401826e-05
131,4.1000000000401826e-05
132,2.4999999999941735e-05
133,3.900000000012227e-05
134,4.099999999951365e-05
135,2.5000000000829914e-05
136,2.4999999999941735e-05
137,2.4999999999941735e-05
138,2.4999999999941735e-05
139,4.1000000000401826e-05
140,4.1000000000401826e-05
141,3.899999999923409e-05
142,2.4999999999941735e-05
143,4.1000000000401826e-05
144,3.900000000012227e-05
145,4.1000000000401826e-05
146,3.900000000012227e-05
147,4.1000000000401826e-05
148,2.4999999999941735e-05
149,4.099999999951365e-05
150,3.900000000012227e-05
151,4.1000000000401826e-05
152,2.4999999999941735e-05
153,4.099999999951365e-05
154,3.900000000012227e-05
155,2.4999999999941735e-05
156,4.099999999951365e-05
157,4.1000000000401826e-05
158,2.4999999999941735e-05
159,3.900000000012227e-05
160,4.099999999951365e-05
161,3.900000000012227e-05
162,2.4999999999941735e-05
163,4.1000000000401826e-05
164,2.4999999999941735e-05
165,3.900000000012227e-05
166,4.1000000000401826e-05
167,3.900000000012227e-05
168,2.4999999999941735e-05
169,3.900000000012227e-05
170,4.1000000000401826e-05
171,2.4999999999941735e-05
172,4.099999999951365e-05
173,3.900000000012227e-05
174,2.4999999999941735e-05
175,4.099999999951365e-05
176,3.900000000012227e-05
177,2.4999999999941735e-05
178,3.899999999923409e-05
179,4.099999999951365e-05
180,3.900000000012227e-05
181,2.4999999999941735e-05
182,2.4999999999941735e-05
183,3.900000000012227e-05
184,2.4999999999941735e-05
185,4.1000000000401826e-05
186,4.1000000000401826e-05
187,2.4999999999941735e-05
188,3.900000000012227e-05
189,4.099999999951365e-05
190,3.900000000012227e-05
191,4.099999999951365e-05
192,2.4999999999941735e-05
193,4.1000000000401826e-05
194,2.4999999999941735e-05
195,4.1000000000401826e-05
196,3.899999999923409e-05
197,2.4999999999941735e-05
198,3.900000000012227e-05
199,2.4999999999941735e-05
200,3.900000000012227e-05
201,3.900000000012227e-05
202,2.4999999999941735e-05
203,3.899999999923409e-05
204,4.099999999951365e-05
205,3.900000000012227e-05
206,4.099999999951365e-05
207,2.5000000000829914e-05
208,2.4999999999053557e-05
209,4.1000000001290005e-05
210,3.899999999923409e-05
211,4.1000000001290005e-05
212,2.5000000000829914e-05
213,4.099999999951365e-05
214,3.899999999923409e-05
215,2.4999999999053557e-05
216,3.900000000101045e-05
217,4.099999999951365e-05
218,2.4999999999053557e-05
219,4.1000000001290005e-05
220,4.099999999951365e-05
221,3.899999999923409e-05
222,4.099999999951365e-05
223,2.5000000000829914e-05
